user,mon,tue,wed,thu,fri,sat,sun,total
RicoElectrico,1.0,0,0,0,0,0,0,1.0
Rovastar,2.0,8.0,0,1.0,0,12.0,6.0,29.0
Rps333,9.0,7.0,0,4.0,0,12.0,1.0,33.0
RustyB,5.0,13.0,1.0,5.0,16.0,24.0,3.0,67.0
SJWoolford,1.0,0,0,0,0,0,0,1.0
SK53,2.0,0,0,0,0,0,1.0,3.0
Seitebatso Mohlahatsa,4.0,3.0,0,1.0,8.0,2.0,2.0,20.0
Shawn Day,3.0,2.0,20.0,0,0,3.0,2.0,30.0
Sonny Andrews,5.0,2.0,0,0,0,0,0,7.0
Stefanoodle,1.0,1.0,0,1.0,0,0,1.0,4.0
Steven_Boyd,0,0,0,0,0,1.0,0,1.0
Stratos P,0,1.0,0,0,0,0,0,1.0
Sundance,1.0,1.0,0,1.0,0,0,0,3.0
T_9er,0,0,1.0,0,0,0,0,1.0
The Big C,12.0,8.0,22.0,11.0,0,9.0,7.0,69.0
The Big D 123,4.0,0,12.0,0,0,0,0,16.0
Tlalane,0,0,1.0,0,0,0,0,1.0
TopsQn,2.0,0,0,1.0,1.0,0,0,4.0
TrevorCB,1.0,0,0,0,0,0,0,1.0
Tsholo,3.0,0,0,0,4.0,0,4.0,11.0
Vincent de Phily,0,0,0,0,0,1.0,0,1.0
WillGuill$$,0,0,0,0,0,4.0,0,4.0
ailishb,2.0,0,0,0,0,0,0,2.0
amyrogan,0,1.0,0,0,0,0,0,1.0
antwob,0,0,1.0,0,0,0,0,1.0
aoifemcg,6.0,0,0,0,0,0,0,6.0
aschetelig,0,0,0,0,0,1.0,0,1.0
ayoyeni,0,0,1.0,0,0,10.0,0,11.0
bdiscoe,12.0,3.0,2.0,10.0,13.0,2.0,2.0,44.0
bjoernchr74,0,0,0,0,0,1.0,0,1.0
bonnabrand,0,0,0,0,0,1.0,0,1.0
caradevlin,2.0,0,0,0,0,0,5.0,7.0
carciofo,1.0,0,0,0,0,0,0,1.0
ciaraodonnell,2.0,0,0,0,0,0,0,2.0
clement kclt,0,0,2.0,0,3.0,0,0,5.0
conor casey,1.0,0,0,0,0,0,0,1.0
crabbers99,0,2.0,0,0,0,0,0,2.0
cramsay10,0,0,0,1.0,0,0,0,1.0
dallob,1.0,0,12.0,0,2.0,4.0,0,19.0
demimcveigh,6.0,0,0,0,0,0,0,6.0
eireidium,124.0,56.0,18.0,22.0,17.0,19.0,56.0,312.0
eltonp,1.0,1.0,0,0,0,0,0,2.0
emmadouglas,0,1.0,0,0,0,0,0,1.0
eul,0,0,0,0,0,0,1.0,1.0
fifiQn,0,0,0,0,10.0,0,0,10.0
fx99,1.0,1.0,1.0,0,0,0,0,3.0
gisteacher,6.0,0,0,0,0,0,1.0,7.0
gracekennyburke,0,3.0,0,0,0,0,0,3.0
haileydmcclure,0,0,3.0,0,0,0,0,3.0
james_mclaughlin,3.0,0,0,0,0,0,0,3.0
janoelh,1.0,0,1.0,1.0,0,0,0,3.0
jbontes,1.0,1.0,1.0,1.0,0,1.0,0,5.0
joshua_carr,0,2.0,0,0,0,0,0,2.0
kanny,0,0,0,0,7.0,0,0,7.0
katie swords,8.0,0,0,0,0,0,0,8.0
katpatuka,4.0,2.0,0,3.0,0,2.0,0,11.0
kenziemccurdy,0,1.0,0,0,0,0,0,1.0
laurencoyle,0,1.0,0,0,0,0,0,1.0
liteboho,1.0,1.0,0,0,1.0,0,0,3.0
lobstaaa,2.0,0,0,0,0,0,0,2.0
mackerski,0,0,1.0,0,0,1.0,0,2.0
malo98,0,0,0,0,0,2.0,0,2.0
manobby,2.0,0,0,0,37.0,0,0,39.0
mariemallon,2.0,0,0,0,0,0,0,2.0
mateboho,0,0,0,0,1.0,0,0,1.0
mathelvo,0,0,0,0,9.0,0,0,9.0
mavusana,3.0,0,0,0,0,0,0,3.0
mdk,4.0,3.0,3.0,2.0,4.0,6.0,11.0,33.0
morganK,1.0,0,0,0,0,1.0,0,2.0
msdess,0,5.0,0,2.0,0,0,5.0,12.0
nadiaa0618,0,0,1.0,0,0,0,0,1.0
nickyqn,12.0,0,0,19.0,90.0,0,0,121.0
nishadanielle,2.0,6.0,0,0,0,0,0,8.0
nkazo,0,0,0,0,1.0,0,0,1.0
noel1,1.0,0,0,0,0,0,0,1.0
notinblue43,3.0,4.0,0,0,1.0,0,1.0,9.0
ntaote,0,0,0,0,0,0,1.0,1.0
ntebo,0,0,0,0,3.0,0,0,3.0
nuts2001,6.0,1.0,0,2.0,5.0,7.0,1.0,22.0
nyampire,0,1.0,0,0,0,0,0,1.0
pedrito1414,0,2.0,0,0,0,0,0,2.0
petermcloughlin,0,0,0,1.0,0,0,1.0,2.0
philipleonard1234,2.0,0,3.0,0,0,7.0,0,12.0
prfnv,0,0,0,0,0,7.0,2.0,9.0
przemas75,0,0,1.0,1.0,1.0,0,0,3.0
reg111,1.0,0,0,0,0,0,0,1.0
rippunzel,1.0,3.0,1.0,3.0,0,0,0,8.0
rjhale1971,2.0,2.0,1.0,0,0,2.0,0,7.0
roaven,0,0,0,0,0,1.0,0,1.0
rorym,0,0,0,1.0,0,3.0,0,4.0
rpg911,0,2.0,6.0,7.0,0,0,0,15.0
sbarx,1.0,0,0,0,0,0,0,1.0
seisa,2.0,0,0,0,3.0,0,0,5.0
skorasaurus,0,0,0,0,1.0,0,0,1.0
stephen1999,0,1.0,0,0,0,0,0,1.0
stilatila1,0,0,0,0,1.0,0,0,1.0
tdamane,0,0,0,0,1.0,0,0,1.0
teboho1702,129.0,18.0,5.0,41.0,15.0,0,0,208.0
terri ferry,1.0,0,0,0,0,0,0,1.0
the_knife,0,0,0,0,0,1.0,0,1.0
thomasF,1.0,0,0,0,0,0,0,1.0
tmonale,0,0,0,0,13.0,0,0,13.0
triazone,3.0,1.0,1.0,0,0,4.0,0,9.0
triciadoherty,2.0,0,0,0,0,0,0,2.0
trolleway,0,0,0,0,0,1.0,0,1.0
tsebo,0,0,1.0,0,0,0,0,1.0
tshedy,11.0,0,0,0,6.0,0,30.0,47.0
tumie,4.0,0,0,0,10.0,0,0,14.0
unbeZAhlbar,0,3.0,1.0,1.0,1.0,3.0,6.0,15.0
wandsecacher,0,0,0,0,1.0,0,0,1.0
